# Edge events for shell 97.5бу
# start_epoch, end_epoch, satellite_i, satellite_j
98 101 29 216
0 120 755 845
73 75 21 212
0 120 840 1069
0 120 515 518
0 120 875 910
0 120 37 565
0 120 96 800
0 120 181 987
0 120 289 291
24 26 27 291
118 119 27 291
0 120 342 977
0 120 52 55
0 120 871 912
0 120 334 973
14 14 15 582
0 120 469 752
6 6 4 689
99 100 4 689
0 120 326 331
0 120 34 43
0 120 773 791
56 57 33 981
0 120 913 914
0 120 696 916
0 120 462 749
0 120 344 348
0 120 388 391
0 120 343 914
0 120 117 571
0 0 2 355
91 94 2 355
0 120 235 706
0 120 84 165
0 120 48 62
0 120 704 1041
50 51 42 284
0 120 869 965
0 120 602 621
0 120 546 869
107 107 11 296
0 120 155 984
0 120 44 64
35 35 29 350
0 120 142 227
61 62 42 1043
25 25 22 719
119 119 22 719
0 120 0 408
0 120 167 176
0 120 802 803
0 120 146 992
0 120 126 668
23 24 29 1001
117 118 29 1001
13 13 33 297
107 107 33 297
0 120 241 1000
54 54 29 592
0 120 862 938
0 120 875 877
0 120 26 28
0 120 878 882
0 120 0 421
0 120 598 604
0 120 623 777
0 120 73 81
0 120 303 314
0 120 547 940
57 58 33 539
15 19 33 310
109 113 33 310
0 120 302 318
0 1 11 371
20 23 11 371
86 95 11 371
113 116 11 371
118 118 11 371
0 120 926 936
0 120 409 417
53 57 6 441
0 120 188 189
0 120 287 311
0 120 919 933
0 120 191 194
0 120 215 322
0 120 280 308
77 79 32 206
4 5 23 502
98 98 23 502
0 120 0 784
0 120 424 437
0 120 484 488
54 55 27 621
0 120 561 671
0 120 775 780
0 120 202 738
0 120 125 671
1 3 6 454
95 96 6 454
0 120 188 202
0 120 182 796
0 120 531 541
0 120 849 850
0 120 656 657
0 120 116 563
0 120 55 58
40 45 29 680
47 48 29 680
0 120 736 1030
0 120 217 322
0 120 557 570
0 120 331 981
0 120 601 613
0 120 889 900
0 120 78 163
0 120 723 724
0 120 25 273
0 120 453 454
11 14 29 392
105 108 29 392
0 120 686 921
0 120 532 863
0 120 438 447
0 120 753 867
0 120 898 962
0 120 77 998
0 120 67 167
0 120 718 1031
30 31 27 997
0 120 70 172
0 120 803 809
0 120 902 968
0 120 346 979
0 120 855 856
0 120 529 871
0 120 856 857
0 120 235 244
0 120 859 862
0 120 586 587
0 120 559 570
0 120 578 583
8 16 22 365
18 23 22 365
28 34 22 365
101 117 22 365
51 52 32 415
61 61 2 652
0 120 501 521
0 120 633 640
0 120 685 687
50 50 42 172
0 120 987 988
0 120 893 981
0 120 338 350
0 120 702 1041
0 120 535 864
0 120 152 717
14 16 18 488
108 110 18 488
0 120 894 982
0 120 553 652
33 34 27 722
0 120 289 313
47 53 11 485
11 14 27 313
105 108 27 313
0 120 352 369
0 120 524 890
0 120 348 893
0 120 174 1006
0 120 464 467
0 120 752 754
0 120 703 712
19 21 4 711
112 116 4 711
0 120 463 471
0 120 537 945
0 120 1046 1051
0 120 526 527
0 120 462 771
20 21 11 606
24 27 11 606
78 93 11 606
114 115 11 606
117 120 11 606
16 18 22 90
110 111 22 90
0 120 995 1005
0 120 987 1001
0 120 530 533
0 120 455 768
11 11 4 832
104 105 4 832
0 120 821 825
0 120 779 828
18 18 12 18
31 31 12 18
34 53 12 18
55 55 12 18
57 69 12 18
72 72 12 18
112 112 12 18
0 120 584 589
0 120 830 1059
48 49 42 306
0 120 481 496
0 120 860 938
0 120 783 834
0 120 185 1028
0 120 31 561
0 120 221 313
0 120 359 363
0 120 0 839
0 120 658 659
83 84 2 1028
0 120 599 609
0 120 651 656
12 13 4 1074
106 107 4 1074
0 120 169 387
42 42 6 509
0 120 643 1066
81 82 4 27
30 31 27 159
0 120 32 274
0 120 885 944
0 0 21 610
3 3 21 610
7 7 21 610
43 43 21 610
47 65 21 610
82 90 21 610
92 94 21 610
96 97 21 610
101 101 21 610
0 120 717 722
0 120 304 324
0 120 200 1026
0 120 938 955
0 120 564 665
62 62 23 161
0 120 437 444
0 120 160 395
0 120 1061 1062
9 14 21 502
103 108 21 502
0 120 900 964
0 120 743 1017
0 120 204 214
0 120 770 854
0 120 720 1033
0 120 904 970
0 120 857 858
85 89 29 218
0 120 330 969
0 120 858 859
0 120 38 568
0 120 1053 1071
0 120 60 61
0 120 44 53
0 120 469 754
47 47 18 818
0 120 461 750
7 7 4 920
101 101 4 920
0 120 255 273
0 120 502 522
0 120 696 918
47 49 42 394
0 120 734 1030
56 57 15 705
42 43 32 120
47 47 32 120
60 60 32 120
0 120 285 300
0 120 235 708
4 5 4 812
98 99 4 812
0 120 895 983
0 120 182 818
0 120 154 985
38 38 42 286
50 51 15 826
0 120 753 755
0 120 530 863
0 120 750 866
0 120 376 396
0 120 880 981
0 120 166 177
0 120 536 942
0 120 517 520
0 120 0 410
0 120 453 764
50 50 33 178
28 32 6 489
0 120 237 996
0 120 526 870
19 20 22 842
113 114 22 842
0 120 513 522
0 120 820 822
0 120 960 982
0 120 812 818
0 120 336 709
0 120 292 294
86 90 22 433
0 120 864 865
0 120 805 815
31 32 32 74
0 120 505 523
0 120 676 935
0 120 797 816
0 120 786 1066
0 120 714 1047
0 120 142 1001
0 120 931 932
0 120 241 714
79 81 29 306
27 27 23 491
0 120 242 715
0 120 0 773
0 120 179 1004
7 9 11 782
101 103 11 782
19 23 33 312
113 117 33 312
0 120 637 1064
0 120 219 322
13 14 11 144
107 108 11 144
62 64 2 553
0 120 788 824
0 120 1048 1049
0 120 760 762
0 120 229 717
0 120 358 373
0 120 490 492
39 39 13 604
62 65 33 433
0 120 888 947
0 120 781 821
80 83 32 208
0 120 291 319
0 120 193 799
89 92 23 504
0 120 0 786
0 120 129 671
85 88 42 374
